number,timestamp
738824,2022-06-01 05:05:53.000000 UTC
738825,2022-06-01 05:07:19.000000 UTC
738826,2022-06-01 05:16:29.000000 UTC
738827,2022-06-01 05:20:45.000000 UTC
738828,2022-06-01 05:29:53.000000 UTC
738829,2022-06-01 05:32:50.000000 UTC
738830,2022-06-01 05:38:45.000000 UTC
738831,2022-06-01 06:11:41.000000 UTC
738832,2022-06-01 06:19:18.000000 UTC
738833,2022-06-01 06:19:38.000000 UTC
738834,2022-06-01 06:31:33.000000 UTC
738835,2022-06-01 06:54:41.000000 UTC
738836,2022-06-01 07:07:14.000000 UTC
738837,2022-06-01 07:10:50.000000 UTC
738838,2022-06-01 07:18:44.000000 UTC
738839,2022-06-01 07:21:08.000000 UTC
738840,2022-06-01 07:26:14.000000 UTC
738841,2022-06-01 07:33:22.000000 UTC
738842,2022-06-01 07:37:36.000000 UTC
738843,2022-06-01 07:59:49.000000 UTC
738844,2022-06-01 08:21:51.000000 UTC
738845,2022-06-01 08:36:58.000000 UTC
738846,2022-06-01 08:47:10.000000 UTC
738847,2022-06-01 09:58:24.000000 UTC
738848,2022-06-01 10:19:17.000000 UTC
738849,2022-06-01 10:45:24.000000 UTC
738850,2022-06-01 10:55:57.000000 UTC
738851,2022-06-01 11:17:27.000000 UTC
738852,2022-06-01 11:19:47.000000 UTC
738853,2022-06-01 11:21:32.000000 UTC
738854,2022-06-01 11:23:36.000000 UTC
738855,2022-06-01 11:28:59.000000 UTC
738856,2022-06-01 11:36:57.000000 UTC
738857,2022-06-01 12:04:12.000000 UTC
738858,2022-06-01 12:06:49.000000 UTC
738859,2022-06-01 12:15:33.000000 UTC
738860,2022-06-01 12:29:01.000000 UTC
738861,2022-06-01 12:45:47.000000 UTC
738862,2022-06-01 12:55:56.000000 UTC
738863,2022-06-01 13:04:01.000000 UTC
738864,2022-06-01 13:42:54.000000 UTC
738865,2022-06-01 13:46:51.000000 UTC
738866,2022-06-01 13:53:18.000000 UTC
738867,2022-06-01 14:21:02.000000 UTC
738868,2022-06-01 14:49:03.000000 UTC
738869,2022-06-01 14:51:27.000000 UTC
738870,2022-06-01 15:01:32.000000 UTC
738871,2022-06-01 15:09:43.000000 UTC
738872,2022-06-01 15:11:52.000000 UTC
738873,2022-06-01 15:18:33.000000 UTC
738874,2022-06-01 15:30:03.000000 UTC
738875,2022-06-01 15:31:35.000000 UTC
738876,2022-06-01 15:40:12.000000 UTC
738877,2022-06-01 15:53:08.000000 UTC
738878,2022-06-01 15:54:05.000000 UTC
738879,2022-06-01 16:16:41.000000 UTC
738880,2022-06-01 16:17:29.000000 UTC
738881,2022-06-01 16:18:22.000000 UTC
738882,2022-06-01 16:40:05.000000 UTC
738883,2022-06-01 16:43:10.000000 UTC
738884,2022-06-01 16:51:09.000000 UTC
738885,2022-06-01 16:51:31.000000 UTC
738886,2022-06-01 17:00:12.000000 UTC
738887,2022-06-01 17:04:35.000000 UTC
738888,2022-06-01 17:07:48.000000 UTC
738889,2022-06-01 17:30:04.000000 UTC
738890,2022-06-01 17:31:49.000000 UTC
738891,2022-06-01 17:36:13.000000 UTC
738892,2022-06-01 17:36:25.000000 UTC
738893,2022-06-01 17:36:56.000000 UTC
738894,2022-06-01 17:46:03.000000 UTC
738895,2022-06-01 17:55:17.000000 UTC
738896,2022-06-01 17:58:45.000000 UTC
738897,2022-06-01 18:20:16.000000 UTC
738898,2022-06-01 18:25:30.000000 UTC
738899,2022-06-01 18:26:07.000000 UTC
738900,2022-06-01 18:33:57.000000 UTC
738901,2022-06-01 18:34:45.000000 UTC
738902,2022-06-01 19:21:32.000000 UTC
738903,2022-06-01 19:29:58.000000 UTC
738904,2022-06-01 19:56:04.000000 UTC
738905,2022-06-01 20:02:51.000000 UTC
738906,2022-06-01 20:03:17.000000 UTC
738907,2022-06-01 20:13:17.000000 UTC
738908,2022-06-01 20:26:05.000000 UTC
738909,2022-06-01 20:34:37.000000 UTC
738910,2022-06-01 20:34:56.000000 UTC
738911,2022-06-01 21:13:31.000000 UTC
738912,2022-06-01 21:35:03.000000 UTC
738913,2022-06-01 21:40:40.000000 UTC
738914,2022-06-01 22:17:41.000000 UTC
738915,2022-06-01 22:18:06.000000 UTC
738916,2022-06-01 22:24:57.000000 UTC
738917,2022-06-01 22:30:28.000000 UTC
738918,2022-06-01 22:37:12.000000 UTC
738919,2022-06-01 22:44:28.000000 UTC
738920,2022-06-01 23:00:05.000000 UTC
738921,2022-06-01 23:11:13.000000 UTC
738922,2022-06-01 23:18:21.000000 UTC
738923,2022-06-01 23:21:20.000000 UTC
738924,2022-06-01 23:32:50.000000 UTC
738925,2022-06-01 23:54:41.000000 UTC
738926,2022-06-02 00:05:07.000000 UTC
738927,2022-06-02 00:31:23.000000 UTC
738928,2022-06-02 00:44:03.000000 UTC
738929,2022-06-02 00:46:41.000000 UTC
738930,2022-06-02 00:56:41.000000 UTC
738931,2022-06-02 01:25:57.000000 UTC
738932,2022-06-02 01:29:49.000000 UTC
738933,2022-06-02 01:31:43.000000 UTC
738934,2022-06-02 02:24:54.000000 UTC
738935,2022-06-02 02:30:54.000000 UTC
738936,2022-06-02 02:55:18.000000 UTC
738937,2022-06-02 02:56:55.000000 UTC
738938,2022-06-02 03:21:05.000000 UTC
738939,2022-06-02 03:22:13.000000 UTC
738940,2022-06-02 03:24:24.000000 UTC
738941,2022-06-02 03:37:38.000000 UTC
738942,2022-06-02 03:49:35.000000 UTC
738943,2022-06-02 03:55:41.000000 UTC
738944,2022-06-02 04:13:58.000000 UTC
738945,2022-06-02 04:52:25.000000 UTC
738946,2022-06-02 04:54:19.000000 UTC
738947,2022-06-02 04:58:57.000000 UTC
738948,2022-06-02 05:15:36.000000 UTC
738949,2022-06-02 05:33:47.000000 UTC
738950,2022-06-02 05:37:56.000000 UTC
738951,2022-06-02 05:38:44.000000 UTC
738952,2022-06-02 05:39:15.000000 UTC
738953,2022-06-02 06:04:52.000000 UTC
738954,2022-06-02 06:06:15.000000 UTC
738955,2022-06-02 06:08:49.000000 UTC
738956,2022-06-02 06:12:42.000000 UTC
738957,2022-06-02 06:15:25.000000 UTC
738958,2022-06-02 06:16:34.000000 UTC
738959,2022-06-02 06:25:55.000000 UTC
738960,2022-06-02 06:56:11.000000 UTC
738961,2022-06-02 06:58:10.000000 UTC
738962,2022-06-02 07:02:37.000000 UTC
738963,2022-06-02 07:17:21.000000 UTC
738964,2022-06-02 07:18:59.000000 UTC
738965,2022-06-02 07:20:31.000000 UTC
738966,2022-06-02 07:48:14.000000 UTC
738967,2022-06-02 07:58:19.000000 UTC
738968,2022-06-02 08:19:29.000000 UTC
738969,2022-06-02 08:23:02.000000 UTC
738970,2022-06-02 08:23:21.000000 UTC
738971,2022-06-02 08:31:16.000000 UTC
738972,2022-06-02 08:35:53.000000 UTC
738973,2022-06-02 08:38:37.000000 UTC
738974,2022-06-02 08:46:00.000000 UTC
738975,2022-06-02 08:53:00.000000 UTC
738976,2022-06-02 08:58:47.000000 UTC
738977,2022-06-02 09:27:42.000000 UTC
738978,2022-06-02 09:27:57.000000 UTC
738979,2022-06-02 09:57:08.000000 UTC
738980,2022-06-02 10:21:37.000000 UTC
738981,2022-06-02 10:21:40.000000 UTC
738982,2022-06-02 10:29:32.000000 UTC
738983,2022-06-02 10:48:45.000000 UTC
738984,2022-06-02 10:52:32.000000 UTC
738985,2022-06-02 10:56:26.000000 UTC
738986,2022-06-02 10:57:17.000000 UTC
738987,2022-06-02 11:02:20.000000 UTC
738988,2022-06-02 11:03:59.000000 UTC
738989,2022-06-02 11:27:23.000000 UTC
738990,2022-06-02 11:34:09.000000 UTC
738991,2022-06-02 11:38:44.000000 UTC
738992,2022-06-02 11:40:19.000000 UTC
738993,2022-06-02 12:14:07.000000 UTC
738994,2022-06-02 13:06:40.000000 UTC
738995,2022-06-02 13:16:45.000000 UTC
738996,2022-06-02 13:19:21.000000 UTC
738997,2022-06-02 13:48:00.000000 UTC
738998,2022-06-02 14:13:21.000000 UTC
738999,2022-06-02 14:25:37.000000 UTC
739000,2022-06-02 15:01:15.000000 UTC
739001,2022-06-02 15:06:31.000000 UTC
739002,2022-06-02 15:19:34.000000 UTC
739003,2022-06-02 15:19:59.000000 UTC
739004,2022-06-02 15:26:02.000000 UTC
739005,2022-06-02 15:57:56.000000 UTC
739006,2022-06-02 16:03:27.000000 UTC
739007,2022-06-02 16:05:52.000000 UTC
739008,2022-06-02 16:20:16.000000 UTC
739009,2022-06-02 16:34:59.000000 UTC
739010,2022-06-02 16:58:33.000000 UTC
739011,2022-06-02 17:02:43.000000 UTC
739012,2022-06-02 17:12:07.000000 UTC
739013,2022-06-02 17:23:32.000000 UTC
739014,2022-06-02 17:35:56.000000 UTC
739015,2022-06-02 17:38:02.000000 UTC
739016,2022-06-02 18:37:07.000000 UTC
739017,2022-06-02 18:44:00.000000 UTC
739018,2022-06-02 18:47:06.000000 UTC
739019,2022-06-02 19:09:30.000000 UTC
739020,2022-06-02 19:14:23.000000 UTC
739021,2022-06-02 19:15:08.000000 UTC
739022,2022-06-02 19:32:13.000000 UTC
739023,2022-06-02 19:36:37.000000 UTC
739024,2022-06-02 19:51:57.000000 UTC
739025,2022-06-02 19:52:49.000000 UTC
739026,2022-06-02 20:09:07.000000 UTC
739027,2022-06-02 20:10:30.000000 UTC
739028,2022-06-02 20:51:15.000000 UTC
739029,2022-06-02 20:53:56.000000 UTC
739030,2022-06-02 20:54:18.000000 UTC
739031,2022-06-02 20:56:52.000000 UTC
739032,2022-06-02 21:27:15.000000 UTC
739033,2022-06-02 21:29:32.000000 UTC
739034,2022-06-02 21:32:15.000000 UTC
739035,2022-06-02 21:52:10.000000 UTC
739036,2022-06-02 21:58:22.000000 UTC
739037,2022-06-02 21:59:48.000000 UTC
739038,2022-06-02 22:03:41.000000 UTC
739039,2022-06-02 22:24:37.000000 UTC
739040,2022-06-02 22:41:33.000000 UTC
739041,2022-06-02 22:43:16.000000 UTC
739042,2022-06-02 22:52:47.000000 UTC
739043,2022-06-02 22:55:46.000000 UTC
739044,2022-06-02 23:00:46.000000 UTC
739045,2022-06-02 23:05:56.000000 UTC
739046,2022-06-02 23:13:12.000000 UTC
739047,2022-06-02 23:28:25.000000 UTC
739048,2022-06-02 23:42:42.000000 UTC
739049,2022-06-02 23:52:26.000000 UTC
739050,2022-06-02 23:59:27.000000 UTC
739051,2022-06-03 00:04:14.000000 UTC
739052,2022-06-03 00:26:45.000000 UTC
739053,2022-06-03 00:32:30.000000 UTC
739054,2022-06-03 00:41:39.000000 UTC
739055,2022-06-03 00:43:34.000000 UTC
739056,2022-06-03 00:58:54.000000 UTC
739057,2022-06-03 01:28:31.000000 UTC
739058,2022-06-03 01:51:27.000000 UTC
739059,2022-06-03 02:00:38.000000 UTC
739060,2022-06-03 02:11:01.000000 UTC
739061,2022-06-03 02:44:43.000000 UTC
739062,2022-06-03 02:49:14.000000 UTC
739063,2022-06-03 02:54:49.000000 UTC
739064,2022-06-03 02:55:16.000000 UTC
739065,2022-06-03 03:04:44.000000 UTC
739066,2022-06-03 03:08:08.000000 UTC
739067,2022-06-03 03:25:38.000000 UTC
739068,2022-06-03 03:29:36.000000 UTC
739069,2022-06-03 03:40:11.000000 UTC
739070,2022-06-03 03:51:20.000000 UTC
739071,2022-06-03 04:19:49.000000 UTC
739072,2022-06-03 04:41:54.000000 UTC
739073,2022-06-03 04:45:24.000000 UTC
739074,2022-06-03 05:12:35.000000 UTC
739075,2022-06-03 05:14:06.000000 UTC
739076,2022-06-03 05:25:20.000000 UTC
739077,2022-06-03 05:29:25.000000 UTC
739078,2022-06-03 05:45:15.000000 UTC
739079,2022-06-03 05:55:05.000000 UTC
739080,2022-06-03 06:00:52.000000 UTC
739081,2022-06-03 06:10:30.000000 UTC
739082,2022-06-03 06:14:15.000000 UTC
739083,2022-06-03 06:23:44.000000 UTC
739084,2022-06-03 06:26:22.000000 UTC
739085,2022-06-03 06:40:06.000000 UTC
739086,2022-06-03 06:48:31.000000 UTC
739087,2022-06-03 06:53:09.000000 UTC
739088,2022-06-03 07:01:56.000000 UTC
739089,2022-06-03 07:09:14.000000 UTC
739090,2022-06-03 07:10:42.000000 UTC
739091,2022-06-03 07:13:08.000000 UTC
739092,2022-06-03 07:17:41.000000 UTC
739093,2022-06-03 07:22:52.000000 UTC
739094,2022-06-03 07:24:08.000000 UTC
739095,2022-06-03 07:30:17.000000 UTC
739096,2022-06-03 07:30:44.000000 UTC
739097,2022-06-03 07:34:57.000000 UTC
739098,2022-06-03 07:52:17.000000 UTC
739099,2022-06-03 08:10:07.000000 UTC
739100,2022-06-03 08:10:25.000000 UTC
739101,2022-06-03 08:21:03.000000 UTC
739102,2022-06-03 08:37:19.000000 UTC
739103,2022-06-03 08:47:24.000000 UTC
739104,2022-06-03 08:55:44.000000 UTC
739105,2022-06-03 09:12:46.000000 UTC
739106,2022-06-03 09:13:33.000000 UTC
739107,2022-06-03 09:21:55.000000 UTC
739108,2022-06-03 09:28:33.000000 UTC
739109,2022-06-03 09:39:59.000000 UTC
739110,2022-06-03 09:45:07.000000 UTC
739111,2022-06-03 09:46:23.000000 UTC
739112,2022-06-03 10:05:24.000000 UTC
739113,2022-06-03 10:26:28.000000 UTC
739114,2022-06-03 10:30:45.000000 UTC
739115,2022-06-03 11:25:10.000000 UTC
739116,2022-06-03 11:28:10.000000 UTC
739117,2022-06-03 11:31:06.000000 UTC
739118,2022-06-03 11:36:08.000000 UTC
739119,2022-06-03 11:38:13.000000 UTC
739120,2022-06-03 11:48:48.000000 UTC
739121,2022-06-03 11:52:35.000000 UTC
739122,2022-06-03 12:09:11.000000 UTC
739123,2022-06-03 12:18:31.000000 UTC
739124,2022-06-03 12:22:47.000000 UTC
739125,2022-06-03 12:30:10.000000 UTC
739126,2022-06-03 12:31:33.000000 UTC
739127,2022-06-03 12:39:57.000000 UTC
739128,2022-06-03 12:51:30.000000 UTC
739129,2022-06-03 12:53:02.000000 UTC
739130,2022-06-03 12:54:29.000000 UTC
739131,2022-06-03 13:12:32.000000 UTC
739132,2022-06-03 13:18:36.000000 UTC
739133,2022-06-03 13:21:18.000000 UTC
739134,2022-06-03 13:42:17.000000 UTC
739135,2022-06-03 13:45:39.000000 UTC
739136,2022-06-03 14:02:00.000000 UTC
739137,2022-06-03 14:15:35.000000 UTC
739138,2022-06-03 14:18:48.000000 UTC
739139,2022-06-03 14:25:39.000000 UTC
739140,2022-06-03 14:45:16.000000 UTC
739141,2022-06-03 14:47:12.000000 UTC
739142,2022-06-03 14:54:10.000000 UTC
739143,2022-06-03 14:56:43.000000 UTC
739144,2022-06-03 15:06:58.000000 UTC
739145,2022-06-03 15:07:37.000000 UTC
739146,2022-06-03 15:07:43.000000 UTC
739147,2022-06-03 15:23:11.000000 UTC
739148,2022-06-03 15:26:36.000000 UTC
739149,2022-06-03 15:59:42.000000 UTC
739150,2022-06-03 16:00:22.000000 UTC
739151,2022-06-03 16:14:10.000000 UTC
739152,2022-06-03 16:26:48.000000 UTC
739153,2022-06-03 16:36:29.000000 UTC
739154,2022-06-03 16:37:21.000000 UTC
739155,2022-06-03 16:37:48.000000 UTC
739156,2022-06-03 16:41:56.000000 UTC
739157,2022-06-03 16:51:04.000000 UTC
739158,2022-06-03 16:55:41.000000 UTC
739159,2022-06-03 17:00:30.000000 UTC
739160,2022-06-03 17:11:41.000000 UTC
739161,2022-06-03 17:48:25.000000 UTC
739162,2022-06-03 18:01:39.000000 UTC
739163,2022-06-03 18:04:00.000000 UTC
739164,2022-06-03 18:07:39.000000 UTC
739165,2022-06-03 18:07:54.000000 UTC
739166,2022-06-03 18:13:27.000000 UTC
739167,2022-06-03 18:38:40.000000 UTC
