Date,Hour,Quarter,ERCOT Hub Average Price
06/01/2022,1,1,76.08
06/01/2022,1,2,75.39
06/01/2022,1,3,77.38
06/01/2022,1,4,90.45
06/01/2022,2,1,82.93
06/01/2022,2,2,89.66
06/01/2022,2,3,80.73
06/01/2022,2,4,76.37
06/01/2022,3,1,75.87
06/01/2022,3,2,75.64
06/01/2022,3,3,74.79
06/01/2022,3,4,74.67
06/01/2022,4,1,74.35
06/01/2022,4,2,75.01
06/01/2022,4,3,72.40
06/01/2022,4,4,59.43
06/01/2022,5,1,60.38
06/01/2022,5,2,60.16
06/01/2022,5,3,59.13
06/01/2022,5,4,57.22
06/01/2022,6,1,53.50
06/01/2022,6,2,53.59
06/01/2022,6,3,53.14
06/01/2022,6,4,51.56
06/01/2022,7,1,55.67
06/01/2022,7,2,55.43
06/01/2022,7,3,55.26
06/01/2022,7,4,55.49
06/01/2022,8,1,234.18
06/01/2022,8,2,62.55
06/01/2022,8,3,55.66
06/01/2022,8,4,54.72
06/01/2022,9,1,57.81
06/01/2022,9,2,53.98
06/01/2022,9,3,51.75
06/01/2022,9,4,59.04
06/01/2022,10,1,54.16
06/01/2022,10,2,39.96
06/01/2022,10,3,36.85
06/01/2022,10,4,41.25
06/01/2022,11,1,39.65
06/01/2022,11,2,45.94
06/01/2022,11,3,49.27
06/01/2022,11,4,51.48
06/01/2022,12,1,60.09
06/01/2022,12,2,62.06
06/01/2022,12,3,69.59
06/01/2022,12,4,65.58
06/01/2022,13,1,74.04
06/01/2022,13,2,81.18
06/01/2022,13,3,82.71
06/01/2022,13,4,95.16
06/01/2022,14,1,83.46
06/01/2022,14,2,171.60
06/01/2022,14,3,90.45
06/01/2022,14,4,84.96
06/01/2022,15,1,80.28
06/01/2022,15,2,82.45
06/01/2022,15,3,79.64
06/01/2022,15,4,80.07
06/01/2022,16,1,81.92
06/01/2022,16,2,82.25
06/01/2022,16,3,81.74
06/01/2022,16,4,78.32
06/01/2022,17,1,77.89
06/01/2022,17,2,78.66
06/01/2022,17,3,81.84
06/01/2022,17,4,82.24
06/01/2022,18,1,77.47
06/01/2022,18,2,78.70
06/01/2022,18,3,77.49
06/01/2022,18,4,73.96
06/01/2022,19,1,70.42
06/01/2022,19,2,72.88
06/01/2022,19,3,73.44
06/01/2022,19,4,76.46
06/01/2022,20,1,79.16
06/01/2022,20,2,79.92
06/01/2022,20,3,83.89
06/01/2022,20,4,80.20
06/01/2022,21,1,75.21
06/01/2022,21,2,70.30
06/01/2022,21,3,67.72
06/01/2022,21,4,66.30
06/01/2022,22,1,59.94
06/01/2022,22,2,63.87
06/01/2022,22,3,61.19
06/01/2022,22,4,65.21
06/01/2022,23,1,60.27
06/01/2022,23,2,61.54
06/01/2022,23,3,61.09
06/01/2022,23,4,53.70
06/01/2022,24,1,51.17
06/01/2022,24,2,52.66
06/01/2022,24,3,50.87
06/01/2022,24,4,51.22
06/02/2022,1,1,53.50
06/02/2022,1,2,55.96
06/02/2022,1,3,56.94
06/02/2022,1,4,54.64
06/02/2022,2,1,55.89
06/02/2022,2,2,56.06
06/02/2022,2,3,52.15
06/02/2022,2,4,46.37
06/02/2022,3,1,43.49
06/02/2022,3,2,44.95
06/02/2022,3,3,45.03
06/02/2022,3,4,48.34
06/02/2022,4,1,51.36
06/02/2022,4,2,51.70
06/02/2022,4,3,55.69
06/02/2022,4,4,60.10
06/02/2022,5,1,61.42
06/02/2022,5,2,62.54
06/02/2022,5,3,67.28
06/02/2022,5,4,74.08
06/02/2022,6,1,78.41
